,Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg
72,Sausage McMuffinÂ® with Egg,450.0,21.0,30.0,2.0,0.0,2.0,27.0,10.0,0.0,920.0,0.0,285.0
73,English Muffin,160.0,5.0,27.0,2.0,0.0,2.0,3.0,0.5,0.0,280.0,0.0,0.0
74,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.0,15.0,37.0,3.0,0.0,2.0,23.0,12.0,0.0,1160.0,0.0,235.0
75,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.0,15.0,43.0,4.0,0.0,3.0,27.0,12.0,0.0,1270.0,0.0,235.0
76,Sausage Biscuit with Egg (Regular Size Biscuit),510.0,18.0,36.0,2.0,0.0,2.0,33.0,14.0,0.0,1170.0,0.0,250.0
77,Sausage Biscuit with Egg (Large Size Biscuit),570.0,18.0,42.0,3.0,0.0,3.0,37.0,15.0,0.0,1280.0,0.0,250.0
78,Sausage Biscuit (Regular Size Biscuit),430.0,11.0,34.0,2.0,0.0,2.0,27.0,12.0,0.0,1080.0,0.0,30.0
79,Sausage Biscuit (Large Size Biscuit),480.0,11.0,39.0,3.0,0.0,3.0,31.0,13.0,0.0,1190.0,0.0,30.0
80,Southern Style Chicken Biscuit (Regular Size Biscuit),410.0,17.0,41.0,3.0,0.0,2.0,20.0,8.0,0.0,1180.0,0.0,30.0
81,Southern Style Chicken Biscuit (Large Size Biscuit),470.0,17.0,46.0,4.0,0.0,3.0,24.0,9.0,0.0,1290.0,0.0,30.0
82,"Steak, Egg & Cheese Bagel",660.0,33.0,56.0,7.0,0.0,3.0,33.0,12.0,1.0,1580.0,0.0,300.0
83,"Bacon, Egg & Cheese McGriddlesÂ®",420.0,15.0,48.0,15.0,0.0,2.0,18.0,8.0,0.0,1110.0,0.0,240.0
84,"Sausage, Egg & Cheese McGriddlesÂ®",560.0,20.0,48.0,15.0,0.0,2.0,32.0,12.0,0.0,1360.0,0.0,265.0
85,Sausage McGriddlesÂ®,420.0,11.0,44.0,15.0,0.0,2.0,22.0,8.0,0.0,1030.0,0.0,35.0
86,Big BreakfastÂ® (Regular Size Biscuit),740.0,28.0,51.0,3.0,0.0,3.0,48.0,17.0,0.0,1560.0,0.0,555.0
87,Big BreakfastÂ® (Large Size Biscuit),800.0,28.0,56.0,3.0,0.0,4.0,52.0,18.0,0.0,1680.0,0.0,555.0
88,Big Breakfast with Hotcakes (Regular Size Biscuit),1090.0,36.0,111.0,17.0,0.0,6.0,56.0,19.0,0.0,2150.0,0.0,575.0
89,Big Breakfast with Hotcakes (Large Size Biscuit),1150.0,36.0,116.0,17.0,0.0,7.0,60.0,20.0,0.0,2260.0,0.0,575.0
90,Sausage Burrito,300.0,12.0,26.0,2.0,0.0,1.0,16.0,7.0,0.0,830.0,0.0,115.0
91,McSkilletâ¢ Burrito with Sausage,610.0,27.0,44.0,4.0,0.0,3.0,36.0,14.0,0.5,1390.0,0.0,410.0
92,Hotcakes,350.0,8.0,60.0,14.0,0.0,3.0,9.0,2.0,0.0,590.0,0.0,20.0
93,Hotcakes and Sausage,520.0,15.0,61.0,14.0,0.0,3.0,24.0,7.0,0.0,930.0,0.0,50.0
94,Hotcake Syrup,180.0,0.0,45.0,32.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
95,Whipped Margarine (1 pat),40.0,0.0,0.0,0.0,0.0,0.0,4.5,1.5,0.0,55.0,0.0,0.0
96,Hash Brown,150.0,1.0,15.0,0.0,0.0,2.0,9.0,1.5,0.0,310.0,0.0,0.0
97,Grape Jam,35.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Strawberry Preserves,35.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,"Bacon, Egg & Cheese Bagel",560.0,24.0,56.0,7.0,0.0,3.0,27.0,9.0,0.5,1300.0,0.0,260.0
100,Fruit & Maple Oatmeal,290.0,5.0,57.0,32.0,0.0,5.0,4.5,2.0,0.0,160.0,0.0,10.0
101,Fruit & Maple Oatmeal without Brown Sugar,260.0,5.0,48.0,18.0,0.0,5.0,4.5,2.0,0.0,115.0,0.0,10.0
102,Hamburger Happy Meal,475.0,22.0,62.0,20.0,0.0,2.0,16.0,,0.0,690.0,0.0,40.0
103,4 Piece Chicken McNuggets Happy Meal,395.0,19.0,41.0,14.0,0.0,1.0,17.0,3.5,0.0,510.0,0.0,35.0
104,6 Piece Chicken McNuggetsÂ® Happy Meal,475.0,24.0,46.0,14.0,0.0,2.0,22.0,4.5,0.0,680.0,0.0,50.0
105,Fruit ân Yogurt Parfait (7 oz),160.0,4.0,31.0,21.0,0.0,1.0,2.0,1.0,0.0,85.0,0.0,5.0
106,Low Fat Caramel Dip,70.0,0.0,15.0,9.0,0.0,0.0,0.5,0.0,0.0,35.0,0.0,5.0
107,Vanilla Reduced Fat Ice Cream Cone,150.0,4.0,24.0,18.0,0.0,0.0,3.5,2.0,0.0,60.0,0.0,15.0
108,Kiddie Cone,45.0,1.0,8.0,6.0,0.0,0.0,1.0,0.5,0.0,20.0,0.0,5.0
109,Strawberry Sundae,280.0,6.0,49.0,45.0,0.0,1.0,6.0,4.0,0.0,95.0,0.0,25.0
110,Hot Caramel Sundae,340.0,7.0,60.0,44.0,0.0,1.0,8.0,5.0,0.0,160.0,0.0,30.0
111,Hot Fudge Sundae,330.0,8.0,54.0,48.0,0.0,2.0,10.0,7.0,0.0,180.0,0.0,25.0
112,Peanuts (for Sundaes),45.0,2.0,2.0,0.0,0.0,1.0,3.5,0.5,0.0,0.0,0.0,0.0
113,McFlurryÂ® with M&MâSÂ® Candies (12 fl oz cup),710.0,15.0,105.0,97.0,0.0,4.0,25.0,16.0,1.0,220.0,0.0,60.0
114,McFlurryÂ® with OREOÂ® Cookies (12 fl oz cup),580.0,13.0,89.0,73.0,0.0,3.0,19.0,10.0,1.0,320.0,0.0,50.0
115,Baked Hot Apple Pie,250.0,2.0,32.0,13.0,0.0,4.0,13.0,7.0,0.0,170.0,0.0,0.0
116,Cinnamon Melts,460.0,6.0,66.0,32.0,0.0,3.0,19.0,9.0,0.0,370.0,0.0,15.0
117,McDonaldlandÂ® Cookies,260.0,4.0,43.0,13.0,0.0,1.0,8.0,2.5,0.0,300.0,0.0,0.0
118,Chocolate Chip Cookie,160.0,2.0,21.0,15.0,0.0,1.0,8.0,3.5,0.0,90.0,0.0,10.0
119,Oatmeal Raisin Cookie,150.0,2.0,22.0,13.0,0.0,1.0,6.0,2.5,0.0,135.0,0.0,10.0
120,Sugar Cookie,160.0,2.0,21.0,11.0,0.0,0.0,7.0,3.0,0.0,120.0,0.0,5.0
121,Apple Dippers with Low Fat Caramel Dip,100.0,0.0,23.0,15.0,0.0,0.0,0.5,0.0,0.0,35.0,0.0,5.0
122,Chocolate McCafÃ©Â® Shake (12 fl oz cup),580.0,11.0,94.0,77.0,0.0,1.0,17.0,10.0,1.0,240.0,0.0,50.0
123,Chocolate McCafÃ©Â® Shake (16 fl oz cup),720.0,15.0,119.0,98.0,0.0,1.0,20.0,12.0,1.0,300.0,0.0,60.0
124,Chocolate McCafÃ©Â® Shake (22 fl oz cup),880.0,18.0,147.0,121.0,0.0,1.0,24.0,15.0,1.5,370.0,0.0,75.0
125,Chocolate Triple ThickÂ® Shake (12 fl oz cup),440.0,10.0,76.0,63.0,0.0,1.0,10.0,6.0,0.5,190.0,0.0,40.0
126,Chocolate Triple ThickÂ® Shake (16 fl oz cup),580.0,13.0,102.0,84.0,0.0,1.0,14.0,8.0,1.0,250.0,0.0,50.0
127,Chocolate Triple ThickÂ® Shake (21 fl oz cup),770.0,18.0,134.0,111.0,0.0,1.0,18.0,11.0,1.0,330.0,0.0,70.0
128,Chocolate Triple ThickÂ® Shake (32 fl oz cup),1160.0,27.0,203.0,168.0,0.0,2.0,27.0,16.0,2.0,510.0,0.0,100.0
129,Snack Size McFlurryÂ® with M&MâSÂ® Candies,430.0,9.0,64.0,59.0,0.0,2.0,16.0,10.0,0.5,130.0,0.0,35.0
130,Snack Size McFlurryÂ® with OREOÂ® Cookies,340.0,8.0,53.0,43.0,0.0,2.0,12.0,6.0,0.0,200.0,0.0,30.0
131,Strawberry McCafÃ©Â® Shake (12 fl oz cup),570.0,11.0,92.0,79.0,0.0,0.0,17.0,10.0,1.0,170.0,0.0,50.0
132,Strawberry McCafÃ©Â® Shake (16 fl oz cup),710.0,14.0,116.0,100.0,0.0,0.0,20.0,12.0,1.0,210.0,0.0,65.0
133,Strawberry McCafÃ©Â® Shake (22 fl oz cup),860.0,18.0,144.0,124.0,0.0,0.0,24.0,15.0,1.5,260.0,0.0,75.0
134,Strawberry Triple ThickÂ® Shake (12 fl oz cup),420.0,10.0,73.0,63.0,0.0,0.0,10.0,6.0,0.5,130.0,0.0,40.0
135,Strawberry Triple ThickÂ® Shake (16 fl oz cup),560.0,13.0,97.0,84.0,0.0,0.0,13.0,8.0,1.0,170.0,0.0,50.0
136,Strawberry Triple ThickÂ® Shake (21 fl oz cup),740.0,17.0,128.0,111.0,0.0,0.0,18.0,11.0,1.0,230.0,0.0,70.0
137,Strawberry Triple ThickÂ® Shake (32 fl oz cup),1110.0,25.0,194.0,168.0,0.0,0.0,26.0,16.0,2.0,350.0,0.0,100.0
138,Vanilla McCafÃ©Â® Shake (12 fl oz cup),540.0,10.0,88.0,64.0,0.0,0.0,16.0,10.0,1.0,170.0,0.0,45.0
139,Vanilla McCafÃ©Â® Shake (16 fl oz cup),680.0,14.0,111.0,82.0,0.0,0.0,20.0,12.0,1.0,220.0,0.0,60.0
140,Vanilla McCafÃ©Â® Shake (22 fl oz cup),830.0,17.0,138.0,103.0,0.0,0.0,24.0,14.0,1.5,270.0,0.0,75.0
141,Vanilla Triple Thick ShakeÂ® (32 fl oz cup),1110.0,25.0,193.0,145.0,0.0,0.0,26.0,16.0,2.0,370.0,0.0,100.0
142,Vanilla Triple ThickÂ® Shake (12 fl oz cup),420.0,9.0,72.0,54.0,0.0,0.0,10.0,6.0,0.5,140.0,0.0,40.0
143,Vanilla Triple ThickÂ® Shake (16 fl oz cup),550.0,13.0,96.0,72.0,0.0,0.0,13.0,8.0,1.0,190.0,0.0,50.0
144,Vanilla Triple ThickÂ® Shake (21 fl oz cup),740.0,17.0,128.0,96.0,0.0,0.0,18.0,11.0,1.0,250.0,0.0,70.0
145,1% Low Fat Milk Jug,100.0,8.0,12.0,12.0,0.0,0.0,2.5,1.5,0.0,125.0,0.0,10.0
146,1% Low Fat Chocolate Milk Jug,170.0,9.0,26.0,25.0,0.0,1.0,3.0,1.5,0.0,150.0,0.0,5.0
