Food_name,Energy(kcal)_per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Cholesterol per 100 mg,Sodium(mg) per 100 g,Carbohydrate(g) per 100 g,fibre(g) per 100 g,total sugar(g) per 100 g,Protein(g) per 100 g
Southern Style Chicken Biscuit (Large Size Biscuit),470,24,9,0,30,1290,46,3,4,17
"Steak, Egg & Cheese Bagel",660,33,12,1,300,1580,56,3,7,33
"Bacon, Egg & Cheese McGriddles®",420,18,8,0,240,1110,48,2,15,15
"Sausage, Egg & Cheese McGriddles®",560,32,12,0,265,1360,48,2,15,20
Sausage McGriddles®,420,22,8,0,35,1030,44,2,15,11
Big Breakfast® (Regular Size Biscuit),740,48,17,0,555,1560,51,3,3,28
Big Breakfast® (Large Size Biscuit),800,52,18,0,555,1680,56,4,3,28
Big Breakfast with Hotcakes (Regular Size Biscuit),1090,56,19,0,575,2150,111,6,17,36
Big Breakfast with Hotcakes (Large Size Biscuit),1150,60,20,0,575,2260,116,7,17,36
Sausage Burrito,300,16,7,0,115,830,26,1,2,12
McSkillet™ Burrito with Sausage,610,36,14,0.5,410,1390,44,3,4,27
Hotcakes,350,9,2,0,20,590,60,3,14,8
Hotcakes and Sausage,520,24,7,0,50,930,61,3,14,15
Hotcake Syrup,180,0,0,0,0,20,45,0,32,0
Whipped Margarine (1 pat),40,4.5,1.5,0,0,55,0,0,0,0
Hash Brown,150,9,1.5,0,0,310,15,2,0,1
Grape Jam,35,0,0,0,0,0,9,0,9,0
Strawberry Preserves,35,0,0,0,0,0,9,0,9,0
"Bacon, Egg & Cheese Bagel",560,27,9,0.5,260,1300,56,3,7,24
Fruit & Maple Oatmeal,290,4.5,2,0,10,160,57,5,32,5
Fruit & Maple Oatmeal without Brown Sugar,260,4.5,2,0,10,115,48,5,18,5
Hamburger Happy Meal,475,16,5.5 g,0,40,690,62,2,20,22
4 Piece Chicken McNuggets Happy Meal,395,17,3.5,0,35,510,41,1,14,19
6 Piece Chicken McNuggets® Happy Meal,475,22,4.5,0,50,680,46,2,14,24
Fruit ‘n Yogurt Parfait (7 oz),160,2,1,0,5,85,31,1,21,4
Low Fat Caramel Dip,70,0.5,0,0,5,35,15,0,9,0
Vanilla Reduced Fat Ice Cream Cone,150,3.5,2,0,15,60,24,0,18,4
Kiddie Cone,45,1,0.5,0,5,20,8,0,6,1
Strawberry Sundae,280,6,4,0,25,95,49,1,45,6
Hot Caramel Sundae,340,8,5,0,30,160,60,1,44,7
Hot Fudge Sundae,330,10,7,0,25,180,54,2,48,8
Peanuts (for Sundaes),45,3.5,0.5,0,0,0,2,1,0,2
McFlurry® with M&M’S® Candies (12 fl oz cup),710,25,16,1,60,220,105,4,97,15
McFlurry® with OREO® Cookies (12 fl oz cup),580,19,10,1,50,320,89,3,73,13
Baked Hot Apple Pie,250,13,7,0,0,170,32,4,13,2
Cinnamon Melts,460,19,9,0,15,370,66,3,32,6
McDonaldland® Cookies,260,8,2.5,0,0,300,43,1,13,4
Chocolate Chip Cookie,160,8,3.5,0,10,90,21,1,15,2
Oatmeal Raisin Cookie,150,6,2.5,0,10,135,22,1,13,2
Sugar Cookie,160,7,3,0,5,120,21,0,11,2
Apple Dippers with Low Fat Caramel Dip,100,0.5,0,0,5,35,23,0,15,0
Chocolate McCafé® Shake (12 fl oz cup),580,17,10,1,50,240,94,1,77,11
Chocolate McCafé® Shake (16 fl oz cup),720,20,12,1,60,300,119,1,98,15
Chocolate McCafé® Shake (22 fl oz cup),880,24,15,1.5,75,370,147,1,121,18
Chocolate Triple Thick® Shake (12 fl oz cup),440,10,6,0.5,40,190,76,1,63,10
Chocolate Triple Thick® Shake (16 fl oz cup),580,14,8,1,50,250,102,1,84,13
Chocolate Triple Thick® Shake (21 fl oz cup),770,18,11,1,70,330,134,1,111,18
Chocolate Triple Thick® Shake (32 fl oz cup),1160,27,16,2,100,510,203,2,168,27
Snack Size McFlurry® with M&M’S® Candies,430,16,10,0.5,35,130,64,2,59,9
Snack Size McFlurry® with OREO® Cookies,340,12,6,0,30,200,53,2,43,8
Strawberry McCafé® Shake (12 fl oz cup),570,17,10,1,50,170,92,0,79,11
Strawberry McCafé® Shake (16 fl oz cup),710,20,12,1,65,210,116,0,100,14
Strawberry McCafé® Shake (22 fl oz cup),860,24,15,1.5,75,260,144,0,124,18
Strawberry Triple Thick® Shake (12 fl oz cup),420,10,6,0.5,40,130,73,0,63,10
Strawberry Triple Thick® Shake (16 fl oz cup),560,13,8,1,50,170,97,0,84,13
Strawberry Triple Thick® Shake (21 fl oz cup),740,18,11,1,70,230,128,0,111,17
Strawberry Triple Thick® Shake (32 fl oz cup),1110,26,16,2,100,350,194,0,168,25
Vanilla McCafé® Shake (12 fl oz cup),540,16,10,1,45,170,88,0,64,10
Vanilla McCafé® Shake (16 fl oz cup),680,20,12,1,60,220,111,0,82,14
Vanilla McCafé® Shake (22 fl oz cup),830,24,14,1.5,75,270,138,0,103,17
Vanilla Triple Thick Shake® (32 fl oz cup),1110,26,16,2,100,370,193,0,145,25
Vanilla Triple Thick® Shake (12 fl oz cup),420,10,6,0.5,40,140,72,0,54,9
Vanilla Triple Thick® Shake (16 fl oz cup),550,13,8,1,50,190,96,0,72,13
Vanilla Triple Thick® Shake (21 fl oz cup),740,18,11,1,70,250,128,0,96,17
1% Low Fat Milk Jug,100,2.5,1.5,0,10,125,12,0,12,8
1% Low Fat Chocolate Milk Jug,170,3,1.5,0,5,150,26,1,25,9
Minute Maid® 100% Apple Juice Box,100,0,0,0,0,15,23,0,22,0
Dasani® Water,0,0,0,0,0,0,0,0,0,0
Minute Maid® Orange Juice (Small),150,0,0,0,0,0,30,0,30,2
Minute Maid® Orange Juice (Medium),190,0,0,0,0,0,39,0,39,3
Minute Maid® Orange Juice (Large),280,0,0,0,0,5,58,0,58,4
Coca-Cola® Classic (Child),110,0,0,0,0,5,29,0,29,0
Coca-Cola® Classic (Small),150,0,0,0,0,10,40,0,40,0
Coca-Cola® Classic (Medium),210,0,0,0,0,15,58,0,58,0
Coca-Cola® Classic (Large),310,0,0,0,0,20,86,0,86,0
Diet Coke® (Child),0,0,0,0,0,15,0,0,0,0
Diet Coke® (Small),0,0,0,0,0,20,0,0,0,0
Diet Coke® (Medium),0,0,0,0,0,30,0,0,0,0
Diet Coke® (Large),0,0,0,0,0,45,0,0,0,0
Sprite® (Child),110,0,0,0,0,30,28,0,28,0
Sprite® (Small),150,0,0,0,0,40,39,0,39,0
Sprite® (Medium),210,0,0,0,0,55,56,0,56,0
Sprite® (Large),310,0,0,0,0,80,83,0,83,0
Hi-C® Orange Lavaburst (Child),120,0,0,0,0,0,32,0,32,0
Hi-C® Orange Lavaburst (Small),160,0,0,0,0,5,44,0,44,0
Hi-C® Orange Lavaburst (Medium),240,0,0,0,0,10,64,0,64,0
Hi-C® Orange Lavaburst (Large),350,0,0,0,0,10,94,0,94,0
POWERade® Mountain Blast (Child),70,0,0,0,0,65,20,0,16,0
POWERade® Mountain Blast (Small),100,0,0,0,0,85,27,0,21,0
POWERade® Mountain Blast (Medium),150,0,0,0,0,130,39,0,31,0
POWERade® Mountain Blast (Large),220,0,0,0,0,190,58,0,46,0
Iced Tea (Child),0,0,0,0,0,5,0,0,0,0
Iced Tea (Small),0,0,0,0,0,10,0,0,0,0
Iced Tea (Medium),0,0,0,0,0,15,0,0,0,0
Iced Tea (Large),0,0,0,0,0,20,1,0,0,0
Coffee (Small),0,0,0,0,0,0,0,0,0,0
Coffee (Large),0,0,0,0,0,0,0,0,0,0
Coffee Cream,20,2,1.5,0,10,15,0,0,0,0
Sugar Packet,15,0,0,0,0,0,4,0,4,0
"EQUAL® 0
Calorie Sweetener",0,0,0,0,0,0,1,0,1,0
"SPLENDA® No
Calorie Sweetener",0,0,0,0,0,0,1,0,1,0
Iced Coffee– Caramel (Small),130,5,3.5,0,20,80,21,0,20,1
Iced Coffee– Caramel (Medium),190,8,5,0,30,115,27,0,27,2
Iced Coffee– Caramel (Large),270,11,7,0,40,160,41,0,41,2
Iced Coffee– Hazelnut (Small),130,5,3.5,0,20,40,21,0,21,1
Iced Coffee– Hazelnut (Medium),190,8,5,0,30,60,29,0,29,2
Iced Coffee– Hazelnut (Large),270,11,7,0,40,85,43,0,43,2
Iced Coffee– Regular (Small),140,5,3.5,0,20,40,22,0,22,1
Iced Coffee– Regular (Medium),200,8,5,0,30,60,30,0,30,2
Iced Coffee– Regular (Large),280,11,7,0,40,85,45,0,45,2
Iced Coffee– Vanilla (Small),130,5,3.5,0,20,40,21,0,21,1
Iced Coffee– Vanilla (Medium),190,8,5,0,30,60,29,0,28,2
Iced Coffee– Vanilla (Large),270,11,7,0,40,80,43,0,43,2
Iced Coffee with Sugar Free Vanilla Syrup (Small),60,5,3.5,0,20,70,8,0,1,1
Iced Coffee with Sugar Free Vanilla Syrup (Medium),90,8,5,0,30,100,11,0,2,2
Iced Coffee with Sugar Free Vanilla Syrup (Large),120,11,7,0,40,140,16,0,2,2
Sweet Tea (Child),110,0,0,0,0,5,27,0,27,0
Sweet Tea (Large),280,0,0,0,0,15,69,0,69,1
Sweet Tea (Medium),180,0,0,0,0,10,45,0,45,1
Sweet Tea (Small),150,0,0,0,0,10,36,0,36,1
Nonfat Cappuccino (Small),60,0,0,0,5,85,9,0,9,6
Nonfat Cappuccino (Medium),80,0,0,0,5,110,12,0,12,8
Nonfat Cappuccino (Large),90,0,0,0,5,130,13,0,13,9
Nonfat Latte (Small),90,0,0,0,5,115,13,0,13,9
Nonfat Latte (Medium),110,0,0,0,5,140,15,0,15,10
Nonfat Latte (Large),120,0,0,0,5,160,18,0,18,12
Nonfat Caramel Cappuccino (Small),150,0,0,0,5,120,33,0,32,5
Nonfat Caramel Cappuccino (Medium),190,0,0,0,5,150,41,0,41,6
Nonfat Caramel Cappuccino (Large),230,0,0,0,5,180,49,0,49,7
Nonfat Caramel Latte (Small),170,0,0,0,5,150,36,0,36,7
Nonfat Caramel Latte (Medium),220,0,0,0,5,180,45,0,45,9
Nonfat Caramel Latte (Large),260,0,0,0,5,220,53,0,53,10
