Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg,,,source
MAGGI,379,8,57.7,2.1,1.1,2.8,13.5,7.9,0.12,1137.1,7.7,0,,,https://www.maggi.in/en/product/maggi-veggie-masala-noodles/
Lays_American Style Cream & Onion Flavour,537,6.7,53,3.4,2,0,33.1,12.5,0.1,643,0,0,,,https://www.lays.com/products/lays-sour-cream-onion-flavored-potato-chips
Lay's Chile Limon Potato Chips,556,7.3,49.4,3.4,0,0,36.6,14.5,0.1,999,0,0,,,https://www.lays.com/products/lays-chile-lim-n-flavored-potato-chips
Lay's Potato Chips - India's Magic Masala Pouch,547,8.9,47.6,4.1,0,0,35.7,14.1,0.1,942,0,0,,,https://www.lays.com/?sf252742898=1
Pringles Sour Cream & Onion Flavour,541,5,57.6,3.2,0,0,30.9,15,0.3,642,0,0,,,https://www.pringles.com/en-us/products/pringles-sour-cream-onion-product.html
Cadbury Oreo Vanilla Flavour Crème Sandwich Biscuit,483,5.2,71.9,38.8,38.7,0,19.6,9.7,0.1,420,0,0,,,https://www.cadbury.co.uk/
Kellogg's Chocos,386,9,83.66,30,0,5,3,1.33,0,0.333,5,0,,,https://www.kelloggs.com/en-in/products/chocos/chocos-whole-grain-cereal.html
Doritos Nacho Cheese Tortilla Chips,499,7.1,65.1,4.5,0,0,23.4,9,0.1,605,0,0,,,https://www.doritos.com/products/doritos-nacho-cheese-flavored-tortilla-chips
Parle Marie Biscuit UNIQUE,451,7.4,77.4,22,0,0,12.4,5.8,0,0,0,0,,,https://www.parleproducts.com/
Cadbury Chocobakes ChocFilled Cookies,501,5.1,66.2,39.7,37.8,0,24.5,11.6,0.1,195,0,1,,,https://www.cadbury.co.uk/
Sunfeast Dark Fantasy Choco Fills,513,5.3,64.2,34.4,31.7,0,26.5,12.9,0.1,166.5,0,0.3,,,https://www.itcstore.in/sunfeast-dark-fantasy-choco-fills-300g
Britannia The Original Bourbon ,493.7,5,72.7,38.3,35.1,0,20.3,10.1,0,119,0,0,,,https://www.britannia.co.in/
Kellogg's Corn Flakes Real Almond Honey,410,6.4,82,25,0,1.66,6.6,4,0,0.44,7,0,,,https://www.kelloggs.com/en-in/products/corn-flakes/corn-flakes-real-almond-and-honey.html
Cadbury Dairy Milk Chocolate,532,7.8,60.4,57,47.4,0,29.2,19.6,0.1,129,0,20.7,,,https://www.cadbury.co.uk/
 Kurkure Namkeen - Masala Munch,558,6.4,55.2,1,0,0,34.6,16,0.1,892,0,0,,,https://www.pepsnacks.com/kurkure
Parle Happy Choco Chip Happy Cookies,489,5.8,71.3,30.4,0,0,20.1,10.6,0,0,0,0,,,https://www.parleproducts.com/brands/happy-happy
PAZZTA Maggi Pazzta Masala Penne Pasta,279,8.9,58,6.9,3.1,3.5,2,1.5,0.01,803,0,2,,,https://www.maggi.in/en/product/maggi-pazzta-masala-penne/
Bingo! Tedhe Medhe Masala Tadka,546,5.5,51.3,1.1,1.2,0,32.8,15.5,0.1,738.4,0,0,,,https://bingosnacks.com
Bingo! Mad Angles Achaari Masti ,526,5.6,61.2,6,5.2,0,29.5,13.8,0.1,758.8,0,0,,,https://bingosnacks.com
Bingo! Original Style Cream & Onion,532,7.3,55.1,2.3,1.1,0,32.4,15,0.1,820,0,1,,,https://bingosnacks.com
Britannia Gobbles Bar Cake Fruity Fun,405,5,58,26.5,0,0,17,8,0,0,0,65,,,https://www.britannia.co.in
Britannia Little Hearts,486,7.4,70,24.4,23,0,19.5,9.4,0,311,0,0,,,https://www.britannia.co.in
Britannia Gobbles Cake Marble Cake Choco Vanilla,414,6.3,58.5,28.6,28.5,0,17.2,8.9,0,184,0,82,,,https://www.britannia.co.in
Too Yumm! - Karare - Noodle Masala,487,6.2,69,3.7,2.5,3.7,20.6,9.4,0.04,720,0,0,,,https://www.rpsg.in/business/tooyummttps://www.rpsg.in/business/tooyumm
Too Yumm! Veggie Stix,476,6.3,71,7.1,2.1,2.9,18.5,9.2,0.19,770,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Multigrain Chips ,483,8.1,67,9.2,8.7,4.9,19.8,9.1,0.1,970,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Potato Chips ,554,6.1,55,0.9,0,3.5,34,7.7,0.2,670,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Veggie Stix,471,6.1,73,5.2,4.2,1.9,17.3,7.4,0.05,970,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Bhoot Chips ,523,7.6,56,3.2,3.2,6.1,30,8.5,0,425,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm - Wafers Spicy Chilli,559,6.4,55,4.8,3.6,2.3,35,8,0.2,610,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Namkeen - Bikaneri Bhujia,600,12.4,40,0,0,1.6,43.2,11.3,0.2,750,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Namkeen - Salted Peanuts,637,27.1,18,2.3,0,7.2,50.5,7.6,0.2,360,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Namkeen - Moong Dal,469,21.7,56,2,0,12,17.8,4.5,0.1,400,0,0,,,https://www.rpsg.in/business/tooyumm
"Too Yumm! Namkeen - All In One,",558,13.7,47,10.2,6.8,7.5,35,8.3,0.1,830,0,0,,,https://www.rpsg.in/business/tooyumm
Nutraj Premium Raw California Almonds,597.19,19.33,21.72,5.41,0,0,48.11,9.62,0,2.5,0,0,,,https://www.nutraj.com/collections/almonds?gad_source=1&gclid=EAIaIQobChMIksjRwcmShQMVaeMWBR0jmQJTEAAYASAAEgIAlvD_BwE
