Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg,Health_Label_for_normal_person,Health_Label_High_Cholesterol,Health_Label_High_fat,Health_Label_High_sugar
198.0,2.44,4.63,3.41,0.0,0.0,19.35,10.14,0.0,31.0,0.07,59.0,0,1.0,1,1.0
88.0,4.55,8.05,8.05,0.0,0.0,4.19,2.591,0.0,54.0,0.2,59.0,0,1.0,1,1.0
178.0,3.25,4.68,4.68,0.0,0.0,16.57,13.272,0.0,48.0,0.03,5.0,0,1.0,1,1.0
63.0,3.33,4.74,4.74,0.0,0.0,3.4,3.101,0.0,57.0,0.05,2.0,0,1.0,1,1.0
126.0,21.05,10.53,5.26,0.0,0.0,0.0,0.0,0.0,1316.0,0.0,26.0,0,1.0,0,1.0
136.0,1.0,11.38,11.38,0.0,0.0,9.97,1.937,0.0,67.0,0.03,0.0,0,0.0,1,1.0
529.0,2.48,59.29,7.77,0.0,0.0,32.92,19.146,0.0,124.0,0.26,0.0,0,0.0,1,1.0
577.0,4.9,52.54,52.54,0.0,0.0,39.92,36.723,0.0,122.0,0.03,0.0,0,0.0,1,1.0
194.0,3.61,17.13,17.13,0.0,0.0,12.72,10.684,0.0,66.0,0.04,10.0,0,1.0,1,1.0
264.0,0.98,16.07,16.07,0.0,0.0,22.3,18.912,0.0,62.0,0.02,0.0,0,0.0,1,1.0
318.0,1.25,23.05,23.05,0.0,0.0,25.31,21.783,0.0,25.0,0.12,0.0,0,0.0,1,1.0
208.0,2.4,6.63,6.63,0.0,0.0,19.52,17.791,0.0,102.0,0.39,0.0,0,0.0,1,1.0
61.0,3.15,4.8,5.05,0.0,0.0,3.25,1.865,0.0,43.0,0.03,10.0,0,1.0,1,1.0
50.0,3.3,4.8,5.06,0.0,0.0,1.98,1.257,0.0,47.0,0.02,8.0,0,1.0,1,1.0
56.0,3.95,5.49,5.26,0.0,0.0,1.98,1.232,0.0,59.0,0.06,8.0,0,1.0,1,1.0
42.0,3.37,4.99,5.2,0.0,0.0,0.97,0.633,0.0,44.0,0.03,5.0,0,1.0,1,1.0
34.0,3.37,4.96,5.09,0.0,0.0,0.08,0.056,0.0,42.0,0.03,2.0,0,1.0,1,1.0
37.0,3.57,5.02,5.02,0.0,0.0,0.25,0.162,0.0,53.0,0.05,2.0,0,1.0,1,1.0
40.0,3.31,4.79,4.79,0.0,0.0,0.88,0.548,0.0,190.0,0.05,4.0,0,1.0,1,1.0
61.0,3.1,4.46,4.46,0.0,0.0,3.46,2.154,0.0,3.0,0.05,14.0,0,1.0,1,1.0
496.0,26.32,38.42,38.42,0.0,0.0,26.71,16.742,0.0,371.0,0.47,97.0,0,1.0,1,1.0
362.0,36.16,51.98,51.98,0.0,0.0,0.77,0.499,0.0,535.0,0.32,20.0,0,1.0,1,1.0
358.0,35.1,52.19,52.19,0.0,0.0,0.72,0.467,0.0,549.0,0.31,18.0,0,1.0,1,1.0
387.0,34.3,49.0,49.0,0.0,0.0,5.78,3.598,0.0,517.0,0.3,69.0,0,1.0,1,1.0
321.0,7.91,54.4,54.4,0.0,0.0,8.7,5.486,0.0,127.0,0.19,34.0,0,1.0,1,1.0
